ID,Full Name,Status,Employee Job Title,Birthday,Hire date,Employee Location,Employee Gender
EID2000000558,Michael Trump,active,Part-Time Staffing Personal Support Worker,19/11/1972,19/10/2018,"46.50356,-80.99845",Female
EID2000000560,Emily Miller,terminated,Personal Support Worker,09/10/1986,03/01/2016,"46.52516,-80.91291",Female
EID2000000570,Khan Wilson,terminated,Full-Time LTC Personal Support Worker,29/03/1980,05/12/2018,"46.48294,-81.01062",Female
EID2000000572,Emily Wilson,terminated,Casual Personal Support Worker,19/04/1997,10/03/2019,"46.37279,-82.65313",Female
EID2000000574,Michael Wilson,terminated,Casual Personal Support Worker (DSW Certification),08/09/1973,06/05/2018,"46.368915,-82.617224",Male
EID2000000576,William Johnson,terminated,Full-Time Personal Support Worker,21/03/1970,25/02/2019,"46.61367,-81.01436",Male
EID2000000578,Olivia Wilson,terminated,Full-Time Personal Support Worker,13/09/2003,12/10/2018,"48.539647,-80.475027",Female
EID2000000580,Marty Wilson,active,Part-Time Personal Support Worker,15/10/2001,13/10/2017,"46.50538,-80.9984",Male
EID2000000583,James Johnson,terminated,Full-Time Personal Support Worker,01/07/1976,14/07/2021,"46.39183,-79.89881",Male
EID2000000585,James Taylor,suspended,Casual Personal Support Worker,08/01/1984,30/01/2018,"46.392392,-81.010222",Male
EID2000000591,James Taylor,suspended,Casual Personal Support Worker,02/02/1987,08/04/2018,"46.503685,-81.006763",Female
EID2000000597,Emily Wilson,active,Casual Registered Practical Nurse,04/02/1972,27/01/2017,"46.50285,-80.98314",Male
EID2000000601,James Trump,terminated,Part-Time Personal Support Worker,11/07/1974,14/09/2022,"46.49009,-81.01499",Female
EID2000000603,James Johnson,terminated,Full-Time Personal Support Worker,24/03/1990,04/10/2018,"46.5209,-80.95623",Male
EID2000000607,Michael Wilson,terminated,Full-Time Personal Support Worker,24/10/1992,08/10/2018,"46.48893,-80.85706",Female
EID2000000609,William Miller,terminated,Casual Personal Support Worker,21/09/1974,09/02/2017,"46.48188,-81.01495",Male
EID2000000616,Michael Wilson,terminated,Casual Health Care Aid,06/06/1975,04/01/2019,"46.57487,-81.19742",Female
EID2000000626,Khan Johnson,suspended,Personal Support Worker,29/12/1979,04/03/2016,"46.44136,-80.915",Female
EID2000000633,Michael Taylor,terminated,Registered Practical nurse,09/02/1993,26/02/2018,"46.52007,-80.95349",Male
EID2000000638,Michael Wilson,suspended,Personal Support Worker,20/11/1986,25/02/2019,"46.522005,-80.96674",Female
EID2000000640,James Brown,suspended,Registered Practical Nurse,18/01/1984,17/12/2017,"44.370207,-79.680395",Male
EID2000000646,James Trump,suspended,Personal Support Worker,13/12/1990,08/02/2019,"46.534037,-80.952008",Male
EID2000000648,James Johnson,active,Part-Time Personal Support Worker,02/11/1990,14/11/2017,"46.64414,-81.39126",Male
EID2000000651,Khan Brown,suspended,Registered Nurse,15/12/1979,14/07/2017,"46.54414,-81.12771",Female
EID2000000655,Emily Davis,terminated,Casual Personal Support Worker,01/12/1987,06/04/2017,"46.58044,-80.81775",Male
EID2000000668,Marty Brown,terminated,Full Time Personal Support Worker,11/09/1982,16/05/2022,"46.49283,-81.00397",Female
EID2000000674,Emily Davis,terminated,Registered Nurse,20/08/1980,,"46.65079,-80.87195",Male
EID2000000677,William Taylor,terminated,Registered Practical Nurse,20/10/1988,04/12/2018,"46.49564,-80.993752",Female
EID2000000679,William Davis,terminated,Registered Nurse,14/09/1991,07/05/2018,"46.52722,-80.94466",Female
EID2000000687,Emily Miller,suspended,Casual Personal Support Worker,29/11/1999,07/05/2018,"46.38888,-82.65493",Male
EID2000000691,James Wilson,terminated,Registered Nurse,06/03/1979,06/07/2018,"46.61077,-81.01238",Male
EID2000000697,Marty Johnson,on hold,Casual Personal Support Worker,20/12/1974,14/06/2018,"46.496508,-81.00495",Male
EID2000000715,Marty Davis,terminated,Casual Personal Support Worker,07/10/1982,11/02/2019,"46.487446,-80.984305",Male
EID2000000720,Emily Johnson,terminated,Casual Personal Support Worker,28/11/1994,08/04/2018,"46.528698,-81.367541",Female
EID2000000779,Marty Brown,terminated,Full-Time Personal Support Worker,14/11/2003,,"46.71363,-80.92027",Male
EID2000000799,Michael Wilson,suspended,Casual Personal Support Worker,09/05/1984,17/03/2019,"46.55729,-80.87024",Male
EID2000000803,Olivia Davis,suspended,Casual Personal Support Worker,14/07/1980,17/03/2019,"46.41228,-80.13263",Male
EID2000000806,Marty Wilson,terminated,Full-Time Personal Support Worker,01/11/1988,17/03/2019,"46.50966,-80.95425",Female
EID2000000812,William Miller,terminated,Casual Personal Support Worker,10/09/1999,17/03/2019,"46.49564,-80.993752",Female
EID2000000815,Michael Trump,terminated,Casual Personal Support Worker,30/05/1982,17/03/2019,"46.56302,-81.11645",Female
EID2000000838,William Brown,terminated,Part-Time Personal Support Worker,30/12/1995,,"46.59145,-81.33943",Male
EID2000000842,Emma Davis,terminated,Part-Time Personal Support Worker,23/07/1996,,"46.52629,-80.92015",Female
EID2000000846,Emma Wilson,suspended,Personal Support Worker,18/10/1994,,"46.51675,-84.2998",Male
EID2000000854,William Miller,terminated,Casual Personal Support Worker,19/03/1987,,"46.482145,-80.989692",Male
EID2000000858,James Wilson,terminated,Permanent Part-Time Personal Support Worker,06/01/1989,,"46.4873,-80.85251",Male
EID2000001741,William Davis,terminated,Registered Nurse,06/08/1991,20/03/2017,"46.50108,-80.93609",Female
EID2000001743,Marty Wilson,active,Casual Staffing Personal Support Worker,05/08/1993,26/04/2017,"46.49564,-80.993752",Female
EID2000001745,Michael Brown,terminated,Casual Personal Support Worker,11/04/1981,11/02/2018,"46.61584,-81.01712",Male
EID2000001747,Olivia Brown,suspended,Casual Personal Support Worker,13/04/1985,03/06/2018,"46.49057,-80.90382",Female
EID2000001749,Emma Davis,terminated,Casual Personal Support Worker,14/07/1990,28/03/2019,"46.532662,-80.952985",Female
EID2000001751,Michael Taylor,terminated,Casual Registered Nurse,03/04/1990,29/04/2018,"46.42903,-81.15093",Female
EID2000001753,Emily Davis,terminated,Casual Personal Support Worker,28/09/1999,20/08/2017,"46.49831,-80.96245",Male
EID2000001755,Emma Johnson,suspended,Registered Nurse,10/02/1981,10/10/2018,"46.52334,-80.97275",Female
EID2000001757,James Wilson,suspended,Casual Health Care Aid,03/07/1989,22/04/2018,"46.504145,-80.992364",Female
EID2000001759,Olivia Davis,terminated,Casual Personal Support Worker,26/08/1991,03/08/2018,"46.466811,-81.003085",Female
EID2000001761,Michael Brown,terminated,Casual Personal Support Worker,15/07/1973,04/11/2018,"46.6208,-81.03434",Female
EID2000001765,William Trump,suspended,Full-Time Personal Support Worker,24/08/1970,11/04/2019,"46.59479,-81.0195",Female
EID2000001767,William Johnson,suspended,Registered Practical Nurse,02/06/1981,26/03/2019,"46.230271,-79.261512",Male
EID2000001769,Michael Johnson,terminated,Casual Personal Support Worker,21/06/1996,01/04/2019,"46.62049,-81.41784",Female
EID2000003250,Emily Wilson,active,,26/02/1992,,,Female
EID2000017510,Olivia Wilson,terminated,Full-Time Personal Support Worker,01/10/1995,20/04/2019,"46.46967,-81.02485",Female
EID2000017523,William Wilson,terminated,Personal Support Worker,15/11/1976,20/04/2019,"46.47596,-81.01176",Male
EID2000017604,James Johnson,terminated,Full time Personal Support Worker,19/06/1991,20/04/2019,"46.59584,-81.09211",Female
EID2000017801,Khan Wilson,suspended,Full-Time Personal Support Worker,25/12/2003,20/04/2019,"46.48234,-80.78462",Male
EID2000017912,Emma Wilson,terminated,Full-Time Personal Support Worker,31/08/1998,20/04/2019,"46.53124,-80.94978",Female
EID2000017916,Michael Brown,terminated,Clinical Nurse Supervisor,10/07/1992,23/04/2019,"46.41031,-81.13949",Female
EID2000040340,Khan Miller,terminated,Personal Support Worker,20/06/1995,01/05/2019,"46.31289,-79.45199",Female
EID2000040373,Marty Miller,terminated,Casual Personal Support Worker,15/12/1988,02/05/2019,"46.36096,-79.917137",Male
EID2000040409,Emma Trump,active,Casual Personal Support Worker,03/06/1978,01/05/2019,"46.210441,-79.348953",Male
EID2000043239,Emily Brown,suspended,Personal Support Worker,24/07/1982,,"46.30618,-79.46053",Female
EID2000043241,Emily Johnson,terminated,Personal Support Worker,17/05/1998,01/05/2019,"46.334304,-79.489187",Male
EID2000043244,Michael Taylor,terminated,Personal Support Worker,29/10/1989,01/05/2019,"46.334304,-79.489187",Female
EID2000043248,Emma Wilson,terminated,Personal Support Worker,05/09/1977,01/05/2019,"46.344479,-79.487368",Male
EID2000043252,Olivia Wilson,terminated,Personal Support Worker,08/09/1988,01/05/2019,"46.344479,-79.487368",Male
EID2000043255,Michael Johnson,suspended,Personal Support Worker,28/05/1985,,"46.38861,-79.392929",Female
EID2000043304,William Wilson,suspended,Casual Personal Support Worker,10/03/1997,06/05/2019,"46.46832,-81.004096",Female
EID2000043310,Olivia Miller,terminated,Casual Personal Support Worker,21/07/1997,,"46.57377,-81.19268",Female
EID2000043316,Michael Johnson,suspended,Casual Personal Support Worker,11/03/1984,06/05/2019,"46.494138,-81.002805",Male
EID2000043323,Olivia Wilson,suspended,Full Time Personal Support Worker,11/05/1992,06/05/2019,"46.55538,-81.11817",Male
EID2000043370,Olivia Taylor,suspended,Personal Support Worker,12/01/1992,06/05/2019,"46.646862,-80.998775",Female
EID2000043471,Michael Wilson,suspended,Personal Support Worker,17/08/1972,06/05/2019,"46.50953,-80.99017",Male
EID2000043476,James Taylor,on hold,Full-Time Personal Support Worker,21/11/1999,20/09/2021,"46.641303,-81.392962",Male
EID2000061287,William Wilson,terminated,Part-Time Registered Practical Nurse,24/06/1974,13/05/2019,"46.51094,-80.99263",Female
EID2000061917,William Wilson,terminated,Casual Personal Support Worker,09/09/1976,01/05/2019,"46.48799,-80.94472",Female
EID2000062470,James Wilson,terminated,Personal Support Worker,06/07/1971,01/05/2019,"46.46043,-81.00022",Female
EID2000099385,James Wilson,terminated,Personal Support Worker,23/08/1992,03/06/2019,"46.30684,-79.45982",Male
EID2000100257,Emily Wilson,terminated,Casual Personal Support Worker,01/07/1976,03/12/2019,"46.48558,-81.01421",Female
EID2000100327,Emily Johnson,terminated,Registered Nurse,04/10/1998,05/06/2019,"46.48477,-81.00143",Female
EID2000103414,Olivia Wilson,terminated,Casual Personal Support Worker,10/11/1987,10/06/2019,"46.45689,-81.00807",Male
EID2000103419,William Taylor,terminated,Casual Personal Support Worker,12/02/1971,10/06/2019,"46.49441,-81.0153",Female
EID2000103423,Khan Taylor,terminated,Full Time Personal Support Worker,20/11/1978,10/06/2019,"46.55293,-81.13656",Male
EID2000103426,Olivia Trump,terminated,Full Time - Personal Support Worker,08/12/1978,10/06/2019,"46.384584,-82.654121",Male
EID2000103429,Olivia Davis,suspended,Full-Time Registered Practical Nurse,31/01/1993,10/06/2019,"46.522005,-80.96674",Male
EID2000103515,James Taylor,suspended,Full Time Personal Support Worker,19/11/1984,10/06/2019,"46.486385,-81.005735",Male
EID2000106969,Emma Wilson,terminated,Casual Registered Practical Nurse,22/09/1997,18/06/2019,"46.434111,-80.954602",Male
EID2000107508,Marty Wilson,terminated,Registered Practical Nurse,22/12/1993,12/06/2019,"46.5227,-80.9849",Male
EID2000107525,James Miller,terminated,Part-Time Staffing Personal Support Worker,17/09/1970,14/09/2022,"46.48966,-80.97255",Male
EID2000119767,Marty Taylor,active,Full-Time Personal Support Worker,02/02/1977,27/06/2019,"46.4963,-80.936375",Female
EID2000120821,James Brown,active,Full-Time Personal Support Worker,11/05/1994,30/06/2019,"46.57264,-81.19853",Male
EID2000121122,Emily Wilson,suspended,Full-Time Personal Support Worker,06/10/1978,,"46.71527,-80.93371",Female
EID2000145570,Michael Davis,terminated,Casual Personal Support Worker,16/08/1975,23/07/2019,"46.32968,-79.46134",Female
EID2000146960,Marty Brown,terminated,Permanent Part-Time Health Care Aid,11/07/2000,25/07/2019,"46.58393,-81.20148",Male
EID2000146962,Emily Taylor,terminated,Registered Practical Nurse,18/11/1988,25/07/2019,"46.25855,-81.80505",Male
EID2000168049,Emily Trump,terminated,Care Coordinator / Receptionist,02/04/2003,14/08/2019,"46.48086,-81.00751",Male
EID2000170161,Olivia Brown,terminated,Personal Support Worker,26/12/1972,13/08/2019,"46.18962,-82.33667",Female
EID2000170164,Marty Davis,suspended,Personal Support Worker,22/11/1978,13/08/2019,"46.70641,-81.55441",Female
EID2000178108,Emma Trump,terminated,Full-Time Personal Support Worker,04/06/2003,16/12/2022,"46.48599,-80.999607",Male
EID2000178114,William Wilson,active,Full-Time Personal Support Worker,07/10/1972,12/05/2022,"46.26962,-79.43933",Male
EID2000178127,Khan Trump,terminated,Casual Personal Support Worker,26/12/1994,19/08/2019,"46.37509,-79.99248",Female
EID2000183129,Khan Brown,terminated,Casual Personal Support Worker,18/06/1997,28/08/2019,"46.4886,-80.90122",Female
EID2000183134,Emma Taylor,active,Casual Personal Support Worker,24/05/1991,03/09/2019,"46.37384,-82.65464",Male
EID2000204955,Michael Taylor,active,Part-Time Personal Support Worker,24/11/1971,03/02/2021,"46.551,-81.10512",Female
EID2000204958,Khan Taylor,terminated,Registered Practical Nurse,20/08/1970,11/09/2019,"46.62742,-81.1094",Female
EID2000206464,Khan Brown,active,Clinical Care Consultant,28/03/1989,04/02/2013,"46.53096,-80.91984",Male
EID2000206894,Emily Davis,terminated,Casual Personal Support Worker,15/05/1991,12/09/2019,"46.31089,-79.46085",Female
EID2000210737,Marty Wilson,terminated,Casual Personal Support Worker,23/10/1983,16/09/2019,"46.47977,-81.0046",Female
EID2000210745,Olivia Trump,terminated,Full-Time Personal Support Worker,15/02/1992,16/09/2019,"46.51193,-80.98908",Female
EID2000213691,James Wilson,terminated,Casual Personal Support Worker,27/07/1979,19/09/2019,"46.54486,-80.89369",Female
EID2000213693,Michael Wilson,terminated,Casual Personal Support Worker,03/10/1989,19/09/2019,"46.503547,-80.937938",Male
EID2000220945,Marty Miller,terminated,Care Coordinator,28/03/1981,30/09/2019,"46.50271,-80.98454",Male
EID2000220948,Emma Taylor,terminated,Care Coordinator,04/06/1991,30/09/2019,"46.49492,-80.95468",Female
EID2000220961,Emily Wilson,terminated,Care Coordinator,25/04/1988,30/09/2019,"46.52231,-80.91396",Male
EID2000220966,James Davis,terminated,Care Coordinator,09/06/2001,30/09/2019,"46.5023,-80.98074",Female
EID2000232359,William Brown,on hold,Casual Staffing Personal Support Worker,22/05/1984,10/10/2019,"46.49474,-80.9838",Female
EID2000232372,Emma Davis,terminated,Full Time - Personal Support Worker,22/11/1981,10/10/2019,"46.64898,-80.94501",Male
EID2000255914,Emma Johnson,terminated,Full-Time Personal Support Worker,03/09/1975,28/10/2019,"46.49426,-81.00179",Female
EID2000256053,Michael Taylor,terminated,Part-Time Personal Support Worker,28/05/1977,30/10/2019,"46.58109,-81.18983",Female
EID2000259255,Marty Miller,terminated,Full-Time Personal Support Worker,29/01/1984,30/10/2019,"46.47817,-81.06468",Female
EID2000260967,Olivia Johnson,on hold,Full-Time Personal Support Worker,19/01/2002,30/10/2019,"46.613515,-81.015027",Male
EID2000260976,Marty Taylor,terminated,Casual Personal Support Worker,13/04/1979,30/10/2019,"46.50955,-81.00279",Female
EID2000261666,Emma Trump,on hold,Casual Personal Support Worker,16/06/2003,30/10/2019,"46.56298,-81.11759",Female
EID2000261892,William Brown,terminated,Casual Personal Support Worker,20/12/1981,30/10/2019,"46.49203,-80.99262",Female
EID2000262363,Marty Taylor,active,Casual Personal Support Worker,07/01/1995,30/10/2019,"46.64622,-80.98316",Female
EID2000262367,Khan Miller,suspended,Casual Personal Support Worker,30/03/1997,30/10/2019,"46.50855,-80.99179",Male
EID2000292460,Michael Brown,terminated,Casual Personal Support Worker,13/09/1994,19/11/2019,"46.48919,-80.95225",Male
EID2000292463,Marty Taylor,active,Part-Time Personal Support Worker,15/05/1989,12/05/2020,"46.4991,-80.99958",Female
EID2000292467,Olivia Wilson,terminated,Casual Personal Support Worker,17/12/1990,19/11/2019,"46.64943,-80.94503",Male
EID2000292469,Marty Trump,terminated,Full Time - Personal Support Worker,02/10/1999,19/11/2019,"46.65566,-80.94524",Male
EID2000296726,William Miller,terminated,Part-Time Care Coordinator,18/12/1995,22/11/2019,"46.48564,-81.01081",Male
EID2000301073,James Miller,active,Full-Time Personal Support Worker,27/04/1976,25/11/2019,"46.578134,-80.994082",Female
EID2000303522,Marty Wilson,terminated,Clinical Care Coordinator,05/03/1978,02/12/2019,"48.48047,-81.3383",Male
EID2000304265,William Miller,applicant,Full Time - Personal Support Worker,10/01/1984,27/11/2019,"46.49865,-80.96139",Male
EID2000316108,William Trump,terminated,Full Time - Personal Support Worker,31/07/1995,02/12/2019,"46.49027,-80.94947",Female
EID2000316112,Khan Davis,terminated,Full Time - Personal Support Worker,16/12/1990,02/12/2019,"46.601055,-81.006992",Male
EID2000316115,Olivia Davis,terminated,Full Time - Personal Support Worker,17/01/1995,02/12/2019,"46.48691,-81.00934",Male
EID2000340475,Emma Johnson,terminated,Full Time - Personal Support Worker,26/03/1972,13/12/2019,"46.58022,-80.84703",Female
EID2000340519,Marty Johnson,terminated,Casual Personal Support Worker,22/05/1991,13/12/2019,"46.46177,-81.02758",Male
EID2000340858,Marty Wilson,terminated,Casual Personal Support Worker,18/04/1986,13/12/2019,"46.25323,-81.77067",Male
EID2000355798,Michael Wilson,terminated,Casual Personal Support Worker,01/06/1972,20/12/2019,"46.356,-79.92746",Female
EID2000355804,James Brown,terminated,Casual Personal Support Worker,24/04/1989,20/12/2019,"46.49063,-80.97029",Male
EID2000406368,Marty Taylor,active,Casual Personal Support Worker,08/02/1983,17/01/2020,"46.71376,-80.91803",Female
EID2000419682,James Davis,terminated,Part-Time Personal Support Worker,21/04/2002,22/01/2020,"46.52455,-80.985123",Male
EID2000421701,Michael Wilson,terminated,Casual Personal Support Worker,22/04/1996,23/01/2020,"46.476,-81.00359",Male
EID2000421729,Marty Wilson,terminated,Casual Personal Support Worker,26/01/1972,23/01/2020,"46.51041,-80.95717",Female
EID2000421736,Michael Wilson,terminated,Casual Personal Support Worker,27/07/1986,23/01/2020,,Male
EID2000425338,William Wilson,terminated,Casual Registered Nurse,10/07/1978,24/01/2020,"46.50028,-81.01355",Female
EID2000430426,James Taylor,terminated,Full Time Personal Support Worker,06/08/1993,29/01/2020,"46.48972,-80.92404",Female
EID2000430446,James Taylor,terminated,Casual Care Coordinator,10/10/1984,03/02/2020,"46.47192,-81.01624",Male
EID2000431558,Michael Wilson,terminated,Casual Personal Support Worker,29/06/1999,28/01/2020,"43.75427,-79.77863",Male
EID2000433692,Michael Taylor,terminated,Part-Time LTC Personal Support Worker,28/10/1975,29/01/2020,"46.46014,-81.01539",Female
EID2000433724,William Wilson,terminated,Casual Personal Support Worker,04/12/1974,31/01/2020,"46.49426,-81.00285",Female
EID2000433771,James Miller,terminated,Part-Time Care Coordinator,19/02/1978,03/02/2020,"46.57535,-80.81001",Female
EID2000433838,William Wilson,terminated,Part-Time Care Coordinator,19/03/1982,03/02/2020,"46.50658,-80.99603",Male
EID2000433953,Michael Brown,terminated,Part-Time Care Coordinator,21/04/1972,03/02/2020,"46.49324,-80.84764",Male
EID2000434031,Michael Wilson,terminated,Part-Time Care Coordinator,23/08/1970,03/02/2020,"46.64436,-81.3853",Male
EID2000434078,William Miller,terminated,Part-Time Care Coordinator,13/01/1984,03/02/2020,"46.46043,-81.00022",Male
EID2000434172,Marty Davis,terminated,,03/03/1990,03/02/2020,"46.52616,-80.91088",Male
EID2000434515,William Davis,terminated,Part-Time Care Coordinator,12/11/1974,03/02/2020,,Male
EID2000437709,James Johnson,terminated,Full Time - Personal Support Worker,31/10/1997,31/01/2020,"46.4766,-80.994138",Male
EID2000441118,James Davis,terminated,Part-Time Care Coordinator,23/12/1995,03/02/2020,"46.524495,-80.926226",Male
EID2000441143,Michael Miller,terminated,Part-Time Care Coordinator,08/06/1978,03/02/2020,"46.55066,-81.10873",Male
EID2000452863,Khan Trump,terminated,Full Time Personal Support Worker,17/02/1972,11/02/2020,"46.48989,-80.96225",Male
EID2000452948,William Johnson,terminated,Casual Personal Support Worker,25/04/1976,11/02/2020,"46.685566,-80.697478",Male
EID2000486287,William Brown,terminated,Casual Personal Support Worker,11/06/2001,27/02/2020,"46.44066,-81.14647",Male
EID2000486332,James Davis,terminated,Full Time - Personal Support Worker,18/04/1970,27/02/2020,"46.46964,-81.06979",Female
EID2000486983,Khan Johnson,terminated,Casual Personal Support Worker,20/02/1970,20/02/2020,"46.37139,-79.98629",Male
EID2000489819,William Davis,terminated,Part-Time PSW,10/05/1992,27/02/2020,"46.47489,-81.02524",Male
EID2000500066,Emma Johnson,terminated,Casual Personal Support Worker,09/12/1971,27/02/2020,"46.49013,-80.95513",Male
EID2000544349,Olivia Wilson,terminated,Full Time - Personal Support Worker,01/07/1971,23/03/2020,"46.64845,-80.99607",Female
EID2000545203,Emily Wilson,terminated,Casual Personal Support Worker,10/04/1987,23/03/2020,"46.5286,-81.3816",Male
EID2000576861,Olivia Wilson,terminated,Casual Personal Support Worker,11/08/2003,09/04/2020,"46.55076,-80.88767",Female
EID2000591254,Marty Brown,terminated,,09/07/1977,21/04/2020,,Male
EID2000601204,Khan Wilson,terminated,Full Time - Personal Support Worker,03/03/1982,04/05/2020,"46.49074,-80.97634",Male
EID2000602693,Khan Wilson,terminated,Casual  Personal Support Worker,23/03/2001,04/05/2020,"46.49228,-81.013955",Male
EID2000606259,Michael Miller,terminated,Full Time Personal Support Worker,21/11/1975,20/05/2020,"46.48747,-81.00889",Male
EID2000607772,Olivia Taylor,terminated,Part-Time Personal Support Worker,10/09/1970,07/05/2020,,Female
EID2000609935,Emily Johnson,terminated,Part-Time Personal Support Worker,02/04/1981,07/05/2020,"46.47247,-81.03039",Female
EID2000624117,Khan Taylor,on hold,Full Time Personal Support Worker,24/09/1979,20/05/2020,"46.55748,-80.87173",Female
EID2000625186,Marty Johnson,terminated,Part-Time Personal Support Worker,23/04/1990,20/05/2020,"46.56113,-80.86476",Female
EID2000632447,Marty Davis,terminated,Full Time - Personal Support Worker,19/04/1992,20/05/2020,"46.51902,-84.34346",Female
EID2000635433,Khan Miller,terminated,Full Time - Registered Nurse,24/03/1975,27/05/2020,"46.41198,-81.15212",Female
EID2000635458,Marty Taylor,active,Full-Time Personal Support Worker,24/04/1971,27/05/2020,"46.4942,-81.0054",Male
EID2000635481,Olivia Johnson,terminated,Full Time - Personal Support Worker,06/01/1984,27/05/2020,"46.50207,-81.00939",Male
EID2000640458,Emma Davis,terminated,Part-Time Personal Support Worker,05/10/1986,27/05/2020,"46.5249,-80.94511",Male
EID2000640530,Marty Brown,active,Full-Time Personal Support Worker,23/09/1981,27/05/2020,"46.533666,-80.953048",Male
EID2000644544,Emma Taylor,terminated,Part-Time Personal Support Worker,15/12/1992,27/05/2020,"45.18784,-75.68209",Female
EID2000658265,James Davis,on hold,Part-Time Personal Support Worker,20/09/1977,04/06/2020,"46.50347,-80.99771",Male
EID2000664734,James Brown,terminated,Part-Time Personal Support Worker,02/02/1994,04/06/2020,"46.51446,-80.93178",Female
EID2000686807,James Davis,terminated,Part-Time Personal Support Worker,25/10/2002,16/06/2020,"46.5217,-80.95554",Male
EID2000688426,Khan Davis,terminated,Full-Time Personal Support Worker,04/12/2003,16/06/2020,"46.51003,-81.00274",Female
EID2000695223,Olivia Wilson,terminated,Part-Time Personal Support Worker,16/06/1973,24/06/2020,"46.53204,-80.91898",Female
EID2000696128,Emily Trump,terminated,Full Time - Personal Support Worker,25/09/2001,24/06/2020,"46.49874,-80.93567",Female
EID2000701596,James Brown,terminated,Full Time - Personal Support Worker,05/08/1988,06/07/2020,"46.52614,-80.96942",Female
EID2000706545,Emily Taylor,terminated,Casual Personal Support Worker,21/08/1974,24/06/2020,"46.51739,-80.93513",Male
EID2000711486,Emma Wilson,active,Full-Time Personal Support Worker,22/12/1999,08/07/2020,"46.576393,-81.201279",Female
EID2000732355,Emma Johnson,terminated,Part-Time RN,22/09/1996,30/06/2020,"46.5765,-81.19347",Male
EID2000735405,Emma Davis,terminated,Full-Time Clinical Support Nurse,23/05/1999,13/07/2020,"46.20783,-82.0801",Male
EID2000760326,James Wilson,terminated,Part-Time Personal Support Worker,04/05/1995,16/07/2020,"46.50453,-80.98376",Female
EID2000760590,Emma Brown,terminated,Full Time - Personal Support Worker,24/11/1992,16/07/2020,"46.41198,-80.12496",Male
EID2000762198,Marty Brown,terminated,Part-Time Personal Support Worker,28/08/1979,16/07/2020,"46.6129,-81.01381",Male
EID2000792990,Olivia Taylor,terminated,Part-Time Personal Support Worker,01/09/1974,05/08/2020,"46.50692,-81.00311",Female
EID2000793047,Khan Wilson,terminated,Full-Time Personal Support Worker,26/05/1973,05/08/2020,"46.4843,-80.85154",Female
EID2000796903,Emily Trump,terminated,Part-Time Personal Support Worker,04/11/1990,05/08/2020,"46.50855,-80.99179",Male
EID2000798321,William Taylor,on hold,Full Time Personal Support Worker,17/01/1998,02/09/2020,"46.580995,-81.189227",Male
EID2000799153,Emily Davis,terminated,Casual Registered Practical Nurse,30/08/1972,05/08/2020,"46.52232,-80.93272",Female
EID2000800397,Michael Davis,terminated,Part-Time Care Coordinator,21/11/1984,05/08/2020,"46.55937,-80.86798",Female
